,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
2,"[False, True, True, False, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""At most 15"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""False""]",58079,113690,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
4,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""False""]",41915,226986,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
6,"[False, True, True, True, False, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""False""]",46943,380440,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
8,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",23429,416896,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
10,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""True""]",20650,458199,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
12,"[False, True, True, False, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""At most 15"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""True""]",39990,519941,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
14,"[False, True, True, False, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""At most 15"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""True""]",31048,594676,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
16,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",42167,724417,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
18,"[False, True, True, False, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""At most 5"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",43002,866409,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
20,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""True""]",31597,965174,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
