,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
1,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",32021,72502,survey-multi-choice,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
3,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",25887,211814,survey-multi-choice,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
5,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",17477,238079,survey-multi-choice,A18TCR555RWUZV,3TXD01ZLD4H79SNSSEJDARG374V4UF,0
28,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",132646,266764,survey-multi-choice,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
30,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",21455,293209,survey-multi-choice,A1945USNZHTROX,3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,1
53,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",46818,127140,survey-multi-choice,A1CH3TODZNQCES,3IX2EGZR7BJ5WIEWRRBCBII2I3NJRP,2
55,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",18126,247791,survey-multi-choice,A1CH3TODZNQCES,3IX2EGZR7BJ5WIEWRRBCBII2I3NJRP,2
78,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",24459,82773,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
80,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",34691,182940,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
82,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",11594,232373,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
